COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
2,LUGO I,27001,LUGO,SGS,LUGO,465_001,2012944,6/11/14,66683,0.8767,Cuestionario Yves Rocher Mystery Presencial 2014
91,A CORUÑA VI - JUAN FLOREZ,15005,A CORUÑA,SGS,A CORUÑA,465_001,2012949,6/14/14,34273,0.8381,Cuestionario Yves Rocher Mystery Presencial 2014
CI49,MARINEDA CITY,15008,A Coruña,SGS,A CORUÑA,0132_1,2012990,6/14/14,34286,0.7958,Cuestionario Cinesa
60035,PORRERES,7260,PORRERES (MALLORCA),SGS,BALEARES,0280_001,2013021,6/13/14,29724,1,Cuestionario_BP_2014
60077,MOLMAR,8830,SANT BOI DE LLOBREGAT,SGS,BARCELONA,0280_001,2013045,6/13/14,31708,0.9129,Cuestionario_BP_2014
60085,MONTCLAR,8830,SANT BOI DE LLOBREGAT,SGS,BARCELONA,0280_001,2013048,6/13/14,31708,0.829,Cuestionario_BP_2014
60088,PEDRALBES,8034,BARCELONA,SGS,BARCELONA,0280_001,2013049,6/13/14,34053,0.7768,Cuestionario_BP_2014
60883,LA FIRA,8908,HOSPITALET DE LLOBREGAT,SGS,BARCELONA,0280_001,2013089,6/13/14,29664,0.8302,Cuestionario_BP_2014
61084,El Corb (Torre de Novell),25600,Balaguer,SGS,LLEIDA,0280_001,2013100,6/15/14,32085,0.7559,Cuestionario_BP_2014
9,ECI F.MACIA,8028,Barcelona,SGS,BARCELONA,0568_001,2013135,6/14/14,34010,0.7525,Coty Mystery ECI
1577,STAND -- EXPERIS ECI ZORRILLA,47006,VALLADOLID,SGS,VALLADOLID,0457_003,2013152,6/13/14,2321,0.4967,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
61376,GODELLA,46110,GODELLA,SGS,VALENCIA,0280_001,2013160,6/14/14,30722,0.8302,Cuestionario_BP_2014
60645,LOURDES,46940,MANISES,SGS,VALENCIA,0280_001,2013163,6/14/14,30722,0.745,Cuestionario_BP_2014
75,DENIA,3700,Denia,SGS,ALICANTE,0399_01,2013169,6/11/14,33196,0.9127,Cuestionario Oro Verdadero
77,CREVILLENT,3330,CREVILLENTE,SGS,ALICANTE,0111_001,2013174,6/11/14,34278,1,Cuest  Druni 2014
